;appid;required_age;is_free;controller_support;dlc;metacritic;windows;mac;linux;platforms_num;recommendations;achievements;release_date;release_date_final
1273;1639690;0;False;;;;1.0;0.0;0.0;1.0;;4.0;2021-un-4J;
1274;1716390;0;False;;;;1.0;1.0;0.0;2.0;;10.0;2021-Aug-28;2021-08-28
1275;1386890;0;True;;;;1.0;0.0;0.0;1.0;125.0;5.0;2021-Feb-25;2021-02-25
1276;1765150;0;False;;;;1.0;0.0;0.0;1.0;121.0;9.0;2021-Oct-11;2021-10-11
1277;1695870;0;True;;;;1.0;0.0;0.0;1.0;;19.0;2021-Sep-29;2021-09-29
1278;1467830;0;False;;;;1.0;0.0;0.0;1.0;;20.0;2021-Mar-28;2021-03-28
1279;1653300;0;False;;;;1.0;0.0;0.0;1.0;;50.0;2021-Jun-18;2021-06-18
1280;1521110;0;False;;;;1.0;1.0;1.0;3.0;;3.0;2021-Feb-23;2021-02-23
1281;1570790;0;False;full;;;1.0;0.0;0.0;1.0;;;2021-pr-1A;
1282;1580570;0;False;;;;1.0;0.0;0.0;1.0;;10.0;2021-Apr-12;2021-04-12
1283;1823320;0;False;;;;1.0;0.0;0.0;1.0;;;2021-Dec-23;2021-12-23
1284;1580150;0;False;full;1.0;;1.0;0.0;0.0;1.0;210.0;5.0;2021-Sep-15;2021-09-15
1285;483330;0;True;full;;;1.0;0.0;1.0;2.0;;65.0;2021-ay-4M;
1286;1167700;0;False;;1.0;;1.0;1.0;0.0;2.0;103.0;21.0;2021-May-28;2021-05-28
1287;1508430;0;False;;;;1.0;0.0;0.0;1.0;;10.0;2021-Jan-11;2021-01-11
1288;1639230;0;False;;;;1.0;0.0;0.0;1.0;;;2021-Nov21-20;
1289;784080;0;False;;5.0;73.0;1.0;0.0;0.0;1.0;7031.0;19.0;2021-y26-Ma;
1290;1525890;0;False;;;;1.0;0.0;0.0;1.0;125.0;42.0;2021-Feb-24;2021-02-24
1291;612040;0;False;full;;;1.0;1.0;0.0;2.0;;21.0;2021-ar-4M;
1292;1495000;0;False;;;;1.0;0.0;1.0;2.0;;25.0;2021-ep-6S;
1293;1596270;0;False;full;1.0;;1.0;0.0;0.0;1.0;;25.0;2021-Oct20-21;
1294;1620390;0;False;;;;1.0;1.0;1.0;3.0;;21.0;2021-Jun-10;2021-06-10
1295;1712810;0;False;;1.0;;1.0;1.0;1.0;3.0;;16.0;2021-Sep-30;2021-09-30
1296;1747030;0;False;full;;;1.0;0.0;0.0;1.0;;7.0;2021-ct-1O;
1297;1813690;0;False;;;;1.0;1.0;0.0;2.0;;;2021-ec-3D;
1298;1088790;0;False;;3.0;;1.0;1.0;0.0;2.0;4692.0;99.0;2021-Oct-13;2021-10-13
1299;1392960;0;False;;5.0;76.0;1.0;0.0;0.0;1.0;949.0;50.0;2021-Sep-15;2021-09-15
1300;1368870;0;False;;5.0;75.0;1.0;0.0;0.0;1.0;305.0;20.0;2021-eb-4F;
1301;1672920;0;True;;;;1.0;0.0;0.0;1.0;;0.0;2021-Nov-23;2021-11-23
1302;1520330;0;False;full;;;1.0;0.0;1.0;2.0;;55.0;2021-Sep-13;2021-09-13
1303;1743380;0;False;;1.0;;1.0;0.0;0.0;1.0;;4.0;2021-ct-7O;
1304;1381850;0;False;;;;1.0;0.0;0.0;1.0;;40.0;2021-May20-21;
1305;1175190;0;False;full;;;1.0;0.0;0.0;1.0;;37.0;2021-Feb-18;2021-02-18
1306;1304770;0;False;;;;1.0;0.0;0.0;1.0;;10.0;2021-ep-2S;
1307;1478030;0;False;;1.0;;1.0;0.0;0.0;1.0;;6.0;2021-an-8J;
1308;1608730;0;True;;;;1.0;0.0;0.0;1.0;;;2021-May-18;2021-05-18
1309;1613050;0;False;;;;1.0;0.0;1.0;2.0;;5.0;2021-May-24;2021-05-24
1310;1639040;0;False;;;;1.0;0.0;0.0;1.0;;27.0;2021-Dec-15;2021-12-15
1311;1246880;0;False;;;;1.0;1.0;0.0;2.0;;10.0;2021-Dec-17;2021-12-17
1312;1753090;0;True;;;;1.0;0.0;0.0;1.0;;;2021-Sep-23;2021-09-23
1313;1139160;0;False;full;;;1.0;0.0;0.0;1.0;102.0;41.0;2021-pr-2A;
